Alfa Romeo
Buick
Citroën
Daimler AG
Hyundai Motor Company
Mitsubishi
Oldsmobile
Peugeot
Toyota
Volkswagen
Volkswagen Group
Fenix Automotive
Fiat India Automobiles
Carbon Motors Corporation
Fábrica Nacional de Motores
Miles Electric Vehicles
Quantum Sports Cars
BAIC Group
Dax Cars
Deronda Type F
Ford Motor Argentina
GAZ Group
Hurtan
Lotec
Luxgen
Optimal Energy Joule
Ronn Motor Company
Serpent Model Racing Cars
Wirth Research
Yokomo
Iran Khodro Diesel
Kia EcoDynamics
Garuda Mataram Motor
Automobili Stanguellini
Van Diemen
Academy Plastic Model
Bahman Group
Chinkara Motors
Diar
Ford Germany
Gemballa
Kyosho
Automotive industry
Micro Cars
Rolls-Royce Motor Cars
Valmet Automotive
Kauno autobusų gamykla
Matford
Vivinus
Zagato
Andino
Salmson
Blakely Auto Works
Penn Line Manufacturing
Bowler Offroad
Carrosserie Hess
DeLorean Motor Company
Detroit Electric
Fabryka Samochodów Osobowych
GTA Motor
Honda Manufacturing of Alabama
Hornby Railways
Jawa Moto
Knox Automobile Company
Lightning Car Company
Manufacturing Commercial Vehicles
Maruti Suzuki
Meyers Manx
Onyx Sports Cars
Riga Autobus Factory
Tyco Toys
Bugatti Automobiles
CAMI Automotive
Hino Motors
Hyundai Motor Manufacturing Alabama
Automobiles Julien
Buckler Cars
Dala7
Industrias Kaiser Argentina
Perodua
Simca do Brasil
Autolatina
Aston Martin
Audi
AvtoVAZ
BMW
Bentley
Bugatti
Chrysler
Datsun
Ferrari
General Motors
Holden
Honda
Koenigsegg
Lamborghini
Land Rover
Lexus
Mazda
Nissan
Opel
Porsche
REO Motor Car Company
Škoda Auto
Automobile Dacia
Bajaj Auto
Chun Nan Jun
Equus Automotive
Factory Five Racing
Hero MotoCorp
Jaguar Cars
Jösse Car
Kish Khodro
Lola Cars
Raw Striker
SAIC Motor
Saab
Saab Automobile
HWA Team
Muntz Car Company
Racing Plast Burträsk
Spex Design Corporation
Aries Motorsport
JC Midge
Purvis Eureka
Bradley Automotive
DRB-HICOM
Lionel Corporation
Porsche India
Osella
Speranza Motors
Banham Conversions
Robbe
Stutz Motor Company
Rolls-Royce Limited
Bizzarrini
Delahaye
Isotta Fraschini
Project 1221
Fairthorpe Cars
Audi Motor Assembly
AutoEuropa
Automobiles Lambert
Bolwell
Dakar 4x4
Fiberfab
Ford Union
Gautier–Wehrlé
Isuzu Malaysia
Motor Company of Botswana
Pellandini Cars
Sevel
Sevel Argentina
TREKOL-39294
CIME
Custoca
Martin-Spéciale
The Coventry Motor Company
Tiger Racing
Concept Centaur GT
Royale Racing
King Saud University
Artega Automobile
Bill Thomas Cheetah
Bright Automotive
Chevron Engineering Ltd
Dufaux automobile
Fisker Automotive
GTM Cars
Industrija motornih vozil
Jensen Motors
Marc Nordon Racing
Orca Engineering
RadioShack
Selex Competition
Société Parisienne
Automobile Craiova
Automotive Industries
BMW US Manufacturing Company
Caparo Vehicle Technologies
De La Chapelle
Diardi
General Motors do Brasil
Hamann Motorsport
Horizon Hobby
Mastretta
Megatech International
Micro-Vett
Mygale
Plasan
Ronart Cars
Sofasa
Renault Russia
Sigma Motors
Tatuus
Aquila Racing Cars
Audi India
Audi Senna
Aurica Motors
BMW India
Basil Green Motors
Bavarian Auto Group
Bering Motors
Central Motors
Derways Automobile Company
Egy-Tech Engineering
Europestar
FAS Sanos
Fujian Benz
GM Uzbekistan
General Motors Egypt
Ghabbour Group
Gonow
Holland Car
Hulas Motors
Hyundai Motor India Limited
Jonway
Marussia Motors
Perana Performance Group
Seoudi Group
Soar Automotive
Société Automobiles Ménara
Somaca
Studiotorino
Tokyo Trading
Xinkai
Youngman
Arrinera
Aspid
Aton Impulse
Carbir Race Cars
Giad Auto
Isuzu Astra Motor Indonesia
Isuzu HICOM Malaysia
Isuzu Philippines
Isuzu Vietnam
Kaipan
Martin Motors
Monte Carlo Automobile
Renault Argentina
Renault España
Renault do Brasil
Rimac Automobili
Spetsteh
Tata Motors Cars
Tauro Sport Auto
Wallyscar
Wikispeed
Wolf Racing Cars
